@relation pandasdata
@attribute Lag_NO_1 real
@attribute Lag_NO_2 real
@attribute Lag_NO_3 real
@attribute Lag_NO_4 real
@attribute Lag_NO_5 real
@attribute Lag_NO_6 real
@attribute Lag_NO_7 real
@attribute Lag_SO2_1 real
@attribute Lag_SO2_2 real
@attribute Lag_SO2_3 real
@attribute Lag_SO2_4 real
@attribute Lag_SO2_5 real
@attribute Lag_SO2_6 real
@attribute Lag_SO2_7 real
@attribute Lag_O3_1 real
@attribute Lag_O3_2 real
@attribute Lag_O3_3 real
@attribute Lag_O3_4 real
@attribute Lag_O3_5 real
@attribute Lag_O3_6 real
@attribute Lag_O3_7 real
@attribute Lag_TMP_1 real
@attribute Lag_TMP_2 real
@attribute Lag_TMP_3 real
@attribute Lag_TMP_4 real
@attribute Lag_TMP_5 real
@attribute Lag_TMP_6 real
@attribute Lag_TMP_7 real
@attribute Lag_HR_1 real
@attribute Lag_HR_2 real
@attribute Lag_HR_3 real
@attribute Lag_HR_4 real
@attribute Lag_HR_5 real
@attribute Lag_HR_6 real
@attribute Lag_HR_7 real
@attribute Lag_NOX_1 real
@attribute Lag_NOX_2 real
@attribute Lag_NOX_3 real
@attribute Lag_NOX_4 real
@attribute Lag_NOX_5 real
@attribute Lag_NOX_6 real
@attribute Lag_NOX_7 real
@attribute Lag_DD_1 real
@attribute Lag_DD_2 real
@attribute Lag_DD_3 real
@attribute Lag_DD_4 real
@attribute Lag_DD_5 real
@attribute Lag_DD_6 real
@attribute Lag_DD_7 real
@attribute Lag_PRB_1 real
@attribute Lag_PRB_2 real
@attribute Lag_PRB_3 real
@attribute Lag_PRB_4 real
@attribute Lag_PRB_5 real
@attribute Lag_PRB_6 real
@attribute Lag_PRB_7 real
@attribute Lag_RS_1 real
@attribute Lag_RS_2 real
@attribute Lag_RS_3 real
@attribute Lag_RS_4 real
@attribute Lag_RS_5 real
@attribute Lag_RS_6 real
@attribute Lag_RS_7 real
@attribute Lag_VV_1 real
@attribute Lag_VV_2 real
@attribute Lag_VV_3 real
@attribute Lag_VV_4 real
@attribute Lag_VV_5 real
@attribute Lag_VV_6 real
@attribute Lag_VV_7 real
@attribute Lag_PM10_1 real
@attribute Lag_PM10_2 real
@attribute Lag_PM10_3 real
@attribute Lag_PM10_4 real
@attribute Lag_PM10_5 real
@attribute Lag_PM10_6 real
@attribute Lag_PM10_7 real
@attribute Lag_NO2_1 real
@attribute Lag_NO2_2 real
@attribute Lag_NO2_3 real
@attribute Lag_NO2_4 real
@attribute Lag_NO2_5 real
@attribute Lag_NO2_6 real
@attribute Lag_NO2_7 real
@attribute NO2 real
@data
5.0,5.0,5.0,7.0,10.0,17.0,10.0,11.0,10.0,12.0,10.0,12.0,12.0,10.0,60.0,69.0,68.0,67.0,39.0,45.0,48.0,12.0,15.0,11.0,11.0,14.0,13.0,14.0,61.0,42.0,45.0,45.0,69.0,82.0,63.0,26.0,24.0,20.0,29.0,53.0,64.0,58.0,8.0,326.0,321.0,327.0,303.0,241.0,344.0,1014.0,1018.0,1024.0,1023.0,1018.0,1024.0,1020.0,46.0,115.0,117.0,117.0,110.0,109.0,106.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,14.0,25.0,10.0,16.0,20.0,24.0,24.0,20.0,16.0,13.0,19.0,38.0,39.0,42.0,32.0
6.0,5.0,5.0,5.0,7.0,10.0,17.0,11.0,11.0,10.0,12.0,10.0,12.0,12.0,51.0,60.0,69.0,68.0,67.0,39.0,45.0,4.0,12.0,15.0,11.0,11.0,14.0,13.0,75.0,61.0,42.0,45.0,45.0,69.0,82.0,42.0,26.0,24.0,20.0,29.0,53.0,64.0,327.0,8.0,326.0,321.0,327.0,303.0,241.0,1017.0,1014.0,1018.0,1024.0,1023.0,1018.0,1024.0,30.0,46.0,115.0,117.0,117.0,110.0,109.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,10.0,14.0,25.0,10.0,16.0,20.0,24.0,32.0,20.0,16.0,13.0,19.0,38.0,39.0,26.0
5.0,6.0,5.0,5.0,5.0,7.0,10.0,11.0,11.0,11.0,10.0,12.0,10.0,12.0,53.0,51.0,60.0,69.0,68.0,67.0,39.0,6.0,4.0,12.0,15.0,11.0,11.0,14.0,98.0,75.0,61.0,42.0,45.0,45.0,69.0,34.0,42.0,26.0,24.0,20.0,29.0,53.0,334.0,327.0,8.0,326.0,321.0,327.0,303.0,1011.0,1017.0,1014.0,1018.0,1024.0,1023.0,1018.0,23.0,30.0,46.0,115.0,117.0,117.0,110.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,6.0,10.0,14.0,25.0,10.0,16.0,20.0,26.0,32.0,20.0,16.0,13.0,19.0,38.0,42.0
9.0,5.0,6.0,5.0,5.0,5.0,7.0,11.0,11.0,11.0,11.0,10.0,12.0,10.0,41.0,53.0,51.0,60.0,69.0,68.0,67.0,9.0,6.0,4.0,12.0,15.0,11.0,11.0,91.0,98.0,75.0,61.0,42.0,45.0,45.0,55.0,34.0,42.0,26.0,24.0,20.0,29.0,325.0,334.0,327.0,8.0,326.0,321.0,327.0,1012.0,1011.0,1017.0,1014.0,1018.0,1024.0,1023.0,97.0,23.0,30.0,46.0,115.0,117.0,117.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,15.0,6.0,10.0,14.0,25.0,10.0,16.0,42.0,26.0,32.0,20.0,16.0,13.0,19.0,24.0
7.0,9.0,5.0,6.0,5.0,5.0,5.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,57.0,41.0,53.0,51.0,60.0,69.0,68.0,10.0,9.0,6.0,4.0,12.0,15.0,11.0,76.0,91.0,98.0,75.0,61.0,42.0,45.0,36.0,55.0,34.0,42.0,26.0,24.0,20.0,329.0,325.0,334.0,327.0,8.0,326.0,321.0,1010.0,1012.0,1011.0,1017.0,1014.0,1018.0,1024.0,36.0,97.0,23.0,30.0,46.0,115.0,117.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,7.0,15.0,6.0,10.0,14.0,25.0,10.0,24.0,42.0,26.0,32.0,20.0,16.0,13.0,23.0
5.0,7.0,9.0,5.0,6.0,5.0,5.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,60.0,57.0,41.0,53.0,51.0,60.0,69.0,12.0,10.0,9.0,6.0,4.0,12.0,15.0,61.0,76.0,91.0,98.0,75.0,61.0,42.0,30.0,36.0,55.0,34.0,42.0,26.0,24.0,324.0,329.0,325.0,334.0,327.0,8.0,326.0,1011.0,1010.0,1012.0,1011.0,1017.0,1014.0,1018.0,122.0,36.0,97.0,23.0,30.0,46.0,115.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,11.0,7.0,15.0,6.0,10.0,14.0,25.0,23.0,24.0,42.0,26.0,32.0,20.0,16.0,39.0
8.0,5.0,7.0,9.0,5.0,6.0,5.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,49.0,60.0,57.0,41.0,53.0,51.0,60.0,12.0,12.0,10.0,9.0,6.0,4.0,12.0,66.0,61.0,76.0,91.0,98.0,75.0,61.0,50.0,30.0,36.0,55.0,34.0,42.0,26.0,322.0,324.0,329.0,325.0,334.0,327.0,8.0,1014.0,1011.0,1010.0,1012.0,1011.0,1017.0,1014.0,122.0,122.0,36.0,97.0,23.0,30.0,46.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,16.0,11.0,7.0,15.0,6.0,10.0,14.0,39.0,23.0,24.0,42.0,26.0,32.0,20.0,44.0
9.0,8.0,5.0,7.0,9.0,5.0,6.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,49.0,49.0,60.0,57.0,41.0,53.0,51.0,12.0,12.0,12.0,10.0,9.0,6.0,4.0,58.0,66.0,61.0,76.0,91.0,98.0,75.0,57.0,50.0,30.0,36.0,55.0,34.0,42.0,305.0,322.0,324.0,329.0,325.0,334.0,327.0,1018.0,1014.0,1011.0,1010.0,1012.0,1011.0,1017.0,94.0,122.0,122.0,36.0,97.0,23.0,30.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,22.0,16.0,11.0,7.0,15.0,6.0,10.0,44.0,39.0,23.0,24.0,42.0,26.0,32.0,42.0
12.0,9.0,8.0,5.0,7.0,9.0,5.0,10.0,11.0,11.0,9.0,11.0,11.0,11.0,47.0,49.0,49.0,60.0,57.0,41.0,53.0,11.0,12.0,12.0,12.0,10.0,9.0,6.0,70.0,58.0,66.0,61.0,76.0,91.0,98.0,60.0,57.0,50.0,30.0,36.0,55.0,34.0,273.0,305.0,322.0,324.0,329.0,325.0,334.0,1017.0,1018.0,1014.0,1011.0,1010.0,1012.0,1011.0,122.0,94.0,122.0,122.0,36.0,97.0,23.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,23.0,22.0,16.0,11.0,7.0,15.0,6.0,42.0,44.0,39.0,23.0,24.0,42.0,26.0,57.0
14.0,12.0,9.0,8.0,5.0,7.0,9.0,10.0,10.0,11.0,11.0,9.0,11.0,11.0,41.0,47.0,49.0,49.0,60.0,57.0,41.0,10.0,11.0,12.0,12.0,12.0,10.0,9.0,74.0,70.0,58.0,66.0,61.0,76.0,91.0,78.0,60.0,57.0,50.0,30.0,36.0,55.0,291.0,273.0,305.0,322.0,324.0,329.0,325.0,1015.0,1017.0,1018.0,1014.0,1011.0,1010.0,1012.0,92.0,122.0,94.0,122.0,122.0,36.0,97.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,30.0,23.0,22.0,16.0,11.0,7.0,15.0,57.0,42.0,44.0,39.0,23.0,24.0,42.0,48.0
18.0,14.0,12.0,9.0,8.0,5.0,7.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,38.0,41.0,47.0,49.0,49.0,60.0,57.0,12.0,10.0,11.0,12.0,12.0,12.0,10.0,85.0,74.0,70.0,58.0,66.0,61.0,76.0,75.0,78.0,60.0,57.0,50.0,30.0,36.0,261.0,291.0,273.0,305.0,322.0,324.0,329.0,1010.0,1015.0,1017.0,1018.0,1014.0,1011.0,1010.0,50.0,92.0,122.0,94.0,122.0,122.0,36.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,22.0,30.0,23.0,22.0,16.0,11.0,7.0,48.0,57.0,42.0,44.0,39.0,23.0,24.0,20.0
5.0,18.0,14.0,12.0,9.0,8.0,5.0,11.0,11.0,10.0,10.0,11.0,11.0,9.0,64.0,38.0,41.0,47.0,49.0,49.0,60.0,13.0,12.0,10.0,11.0,12.0,12.0,12.0,53.0,85.0,74.0,70.0,58.0,66.0,61.0,27.0,75.0,78.0,60.0,57.0,50.0,30.0,291.0,261.0,291.0,273.0,305.0,322.0,324.0,1017.0,1010.0,1015.0,1017.0,1018.0,1014.0,1011.0,129.0,50.0,92.0,122.0,94.0,122.0,122.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,22.0,30.0,23.0,22.0,16.0,11.0,20.0,48.0,57.0,42.0,44.0,39.0,23.0,28.0
6.0,5.0,18.0,14.0,12.0,9.0,8.0,10.0,11.0,11.0,10.0,10.0,11.0,11.0,48.0,64.0,38.0,41.0,47.0,49.0,49.0,12.0,13.0,12.0,10.0,11.0,12.0,12.0,66.0,53.0,85.0,74.0,70.0,58.0,66.0,36.0,27.0,75.0,78.0,60.0,57.0,50.0,277.0,291.0,261.0,291.0,273.0,305.0,322.0,1023.0,1017.0,1010.0,1015.0,1017.0,1018.0,1014.0,79.0,129.0,50.0,92.0,122.0,94.0,122.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,11.0,22.0,30.0,23.0,22.0,16.0,28.0,20.0,48.0,57.0,42.0,44.0,39.0,40.0
9.0,6.0,5.0,18.0,14.0,12.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,37.0,48.0,64.0,38.0,41.0,47.0,49.0,14.0,12.0,13.0,12.0,10.0,11.0,12.0,76.0,66.0,53.0,85.0,74.0,70.0,58.0,54.0,36.0,27.0,75.0,78.0,60.0,57.0,249.0,277.0,291.0,261.0,291.0,273.0,305.0,1020.0,1023.0,1017.0,1010.0,1015.0,1017.0,1018.0,124.0,79.0,129.0,50.0,92.0,122.0,94.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,12.0,11.0,22.0,30.0,23.0,22.0,40.0,28.0,20.0,48.0,57.0,42.0,44.0,58.0
17.0,9.0,6.0,5.0,18.0,14.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,27.0,37.0,48.0,64.0,38.0,41.0,47.0,12.0,14.0,12.0,13.0,12.0,10.0,11.0,85.0,76.0,66.0,53.0,85.0,74.0,70.0,85.0,54.0,36.0,27.0,75.0,78.0,60.0,296.0,249.0,277.0,291.0,261.0,291.0,273.0,1015.0,1020.0,1023.0,1017.0,1010.0,1015.0,1017.0,120.0,124.0,79.0,129.0,50.0,92.0,122.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,25.0,18.0,12.0,11.0,22.0,30.0,23.0,58.0,40.0,28.0,20.0,48.0,57.0,42.0,48.0
12.0,17.0,9.0,6.0,5.0,18.0,14.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,40.0,27.0,37.0,48.0,64.0,38.0,41.0,13.0,12.0,14.0,12.0,13.0,12.0,10.0,78.0,85.0,76.0,66.0,53.0,85.0,74.0,65.0,85.0,54.0,36.0,27.0,75.0,78.0,251.0,296.0,249.0,277.0,291.0,261.0,291.0,1015.0,1015.0,1020.0,1023.0,1017.0,1010.0,1015.0,129.0,120.0,124.0,79.0,129.0,50.0,92.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,24.0,25.0,18.0,12.0,11.0,22.0,30.0,48.0,58.0,40.0,28.0,20.0,48.0,57.0,49.0
16.0,12.0,17.0,9.0,6.0,5.0,18.0,12.0,10.0,11.0,10.0,10.0,11.0,11.0,26.0,40.0,27.0,37.0,48.0,64.0,38.0,12.0,13.0,12.0,14.0,12.0,13.0,12.0,89.0,78.0,85.0,76.0,66.0,53.0,85.0,73.0,65.0,85.0,54.0,36.0,27.0,75.0,249.0,251.0,296.0,249.0,277.0,291.0,261.0,1015.0,1015.0,1015.0,1020.0,1023.0,1017.0,1010.0,53.0,129.0,120.0,124.0,79.0,129.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,19.0,24.0,25.0,18.0,12.0,11.0,22.0,49.0,48.0,58.0,40.0,28.0,20.0,48.0,44.0
14.0,16.0,12.0,17.0,9.0,6.0,5.0,11.0,12.0,10.0,11.0,10.0,10.0,11.0,39.0,26.0,40.0,27.0,37.0,48.0,64.0,15.0,12.0,13.0,12.0,14.0,12.0,13.0,70.0,89.0,78.0,85.0,76.0,66.0,53.0,66.0,73.0,65.0,85.0,54.0,36.0,27.0,222.0,249.0,251.0,296.0,249.0,277.0,291.0,1016.0,1015.0,1015.0,1015.0,1020.0,1023.0,1017.0,101.0,53.0,129.0,120.0,124.0,79.0,129.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,21.0,19.0,24.0,25.0,18.0,12.0,11.0,44.0,49.0,48.0,58.0,40.0,28.0,20.0,22.0
8.0,14.0,16.0,12.0,17.0,9.0,6.0,11.0,11.0,12.0,10.0,11.0,10.0,10.0,58.0,39.0,26.0,40.0,27.0,37.0,48.0,17.0,15.0,12.0,13.0,12.0,14.0,12.0,58.0,70.0,89.0,78.0,85.0,76.0,66.0,34.0,66.0,73.0,65.0,85.0,54.0,36.0,213.0,222.0,249.0,251.0,296.0,249.0,277.0,1015.0,1016.0,1015.0,1015.0,1015.0,1020.0,1023.0,103.0,101.0,53.0,129.0,120.0,124.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,21.0,19.0,24.0,25.0,18.0,12.0,22.0,44.0,49.0,48.0,58.0,40.0,28.0,15.0
5.0,8.0,14.0,16.0,12.0,17.0,9.0,12.0,11.0,11.0,12.0,10.0,11.0,10.0,64.0,58.0,39.0,26.0,40.0,27.0,37.0,18.0,17.0,15.0,12.0,13.0,12.0,14.0,48.0,58.0,70.0,89.0,78.0,85.0,76.0,22.0,34.0,66.0,73.0,65.0,85.0,54.0,256.0,213.0,222.0,249.0,251.0,296.0,249.0,1015.0,1015.0,1016.0,1015.0,1015.0,1015.0,1020.0,142.0,103.0,101.0,53.0,129.0,120.0,124.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,18.0,21.0,19.0,24.0,25.0,18.0,15.0,22.0,44.0,49.0,48.0,58.0,40.0,26.0
6.0,5.0,8.0,14.0,16.0,12.0,17.0,10.0,12.0,11.0,11.0,12.0,10.0,11.0,55.0,64.0,58.0,39.0,26.0,40.0,27.0,16.0,18.0,17.0,15.0,12.0,13.0,12.0,49.0,48.0,58.0,70.0,89.0,78.0,85.0,34.0,22.0,34.0,66.0,73.0,65.0,85.0,289.0,256.0,213.0,222.0,249.0,251.0,296.0,1022.0,1015.0,1015.0,1016.0,1015.0,1015.0,1015.0,107.0,142.0,103.0,101.0,53.0,129.0,120.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,16.0,20.0,18.0,21.0,19.0,24.0,25.0,26.0,15.0,22.0,44.0,49.0,48.0,58.0,31.0
7.0,6.0,5.0,8.0,14.0,16.0,12.0,13.0,10.0,12.0,11.0,11.0,12.0,10.0,47.0,55.0,64.0,58.0,39.0,26.0,40.0,18.0,16.0,18.0,17.0,15.0,12.0,13.0,48.0,49.0,48.0,58.0,70.0,89.0,78.0,42.0,34.0,22.0,34.0,66.0,73.0,65.0,274.0,289.0,256.0,213.0,222.0,249.0,251.0,1019.0,1022.0,1015.0,1015.0,1016.0,1015.0,1015.0,143.0,107.0,142.0,103.0,101.0,53.0,129.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,16.0,16.0,20.0,18.0,21.0,19.0,24.0,31.0,26.0,15.0,22.0,44.0,49.0,48.0,18.0
